departure_datetime,origin,destination,airline,price_eur,num_stops,travel_time_minutes,days_left
2026-05-31 19:25:00,BSL,HAM,easyJet,116,0,90,14
2026-06-16 11:05:00,FRA,NRT,Etihad,626,1,1120,30
2026-06-18 17:15:00,FRA,NRT,Qatar Airways,709,1,1135,32
2026-06-27 15:40:00,HND,FRA,China Southern,471,1,1330,41
2026-06-28 02:00:00,HND,FRA,Korean Air,879,1,1360,42
2026-06-29 10:35:00,HND,FRA,THAI,867,1,160,43
2026-06-30 00:05:00,HND,FRA,"EmiratesJAL, Qantas",592,1,1210,44
2026-07-02 21:20:00,AGP,CGN,Ryanair,28,0,180,46
2026-07-03 00:05:00,HND,FRA,"EmiratesJAL, Qantas",592,1,1210,47
2026-07-05 08:30:00,CGN,AGP,"Lufthansa City Airlines, Lufthansa",196,1,315,49
